ID,Artist,Album
120,The Police,Synchronicity
121,The Police,Regatta De Blanc
122,The Doors,The Doors
123,The Doors,L.A. Woman
124,The Police,Ghost in the machine
125,The Police,Zenyatta mondatta
126,Led Zeppelin,The Soundrack from the Film: The song remains the same
127,Led Zeppelin,Phsical Graffiti
128,Led Zeppelin,Led Zeppelin
129,Led Zeppelin,Led Zeppelin Remastered
130,Pink Floyd,Atom Heart mother
131,Pink Floyd,The Division Bell
132,Pink Floyd,The dark side of the moon
133,Pink Floyd,Echos
134,Nirvana,On a plain
135,Sylvia Suprise,Victor
136,ABBA,Gold Greatest Hits
137,Queen,Greatest Hits
138,Earth Band,Solar Fire
139,Falco,Falco 60
140,Sting,The best of 25 years
141,The Beatles,1962-1966
142,The Beatles,1967-1970
143,The Beatles,Abbey Road
144,Deodato,Star Edition
145,Various,Apocalypse Now
146,Crash Test Dummies,God Shuffled his Feet
147,Electric Light Orchester,Out of the Blue
148,Barcley James Harvest,Gone To Earth
149,Supertramp,Even in the quietest moments…
150,Protoje & Chronixx,Who Knows
151,Project Mooncircle,15th Anniversary
152,kidkanevil,My Little Ghost
153,Flume,Flume
154,Flume,Flume (Eye on cover)
155,Flume,Skin
156,Basements Saints,Get Ready
157,Chrome Sparks,Sparks EP
158,Red Hot Chili Peppers,Stadium Arcadium
