title,artist,genre,tracklist
Synchronicity,The Police,Rock,"$index[1] Synchronicity I $side[A1] $dur[3:23]
$index[2] Walking In Your Footsteps $side[A2] $dur[3:35]
$index[3] O My God $side[A3] $dur[4:00]
$index[4] Mother $side[A4] $dur[3:03]
$index[5] Miss Gradenko $side[A5] $dur[2:00]
$index[6] Synchronicity II $side[A6] $dur[5:04]
$index[7] Every Breath You Take $side[B1] $dur[4:13]
$index[8] King Of Pain $side[B2] $dur[4:59]
$index[9] Wrapped Around Your Finger $side[B3] $dur[5:12]
$index[10] Tea In The Sahara $side[B4] $dur[4:11]
"
Regatta De Blanc,The Police,Rock,"$index[1] Message In A Bottle $side[A1] $dur[4:49]
$index[2] Regatta De Blanc $side[A2] $dur[3:05]
$index[3] It‘s Alright For You $side[A3] $dur[3:14]
$index[4] Bring On The Night $side[A4] $dur[4:16]
$index[5] Deathwish $side[A5] $dur[4:13]
$index[6] Walking On The Moon $side[B1] $dur[4:59]
$index[7] On Any Other Day $side[B2] $dur[2:56]
$index[8] The Bed‘s Too Big Without You $side[B3] $dur[4:24]
$index[9] Contact $side[B4] $dur[2:39]
$index[10] Does Everyone Stare $side[B5] $dur[3:49]
$index[11] No Time This Time $side[B6] $dur[3:18]
"
The Doors,The Doors,Rock,"$index[1] Break On Through (To The Other Side) $side[A1] $dur[2:25]
$index[2] Soul Kitchen $side[A2] $dur[3:30]
$index[3] The Crystal Ship $side[A3] $dur[2:30]
$index[4] Twentieth Century Fox $side[A4] $dur[2:30]
$index[5] Alabama Song (Whisky Bar) $side[A5] $dur[3:15]
$index[6] Light My Fire $side[A6] $dur[6:50]
$index[7] Back Door Man $side[B1] $dur[3:30]
$index[8] I Looked At You $side[B2] $dur[2:18]
$index[9] End Of The Night $side[B3] $dur[2:49]
$index[10] Take It As It Comes $side[B4] $dur[2:13]
$index[11] The End $side[B5] $dur[11:35]
"
L.A. Woman,The Doors,Rock,"$index[1] The Changeling $side[A1] $dur[4:20]
$index[2] Love Her Madly $side[A2] $dur[3:18]
$index[3] Been Down So Long $side[A3] $dur[4:40]
$index[4] Cars Hiss By My Window $side[A4] $dur[4:10]
$index[5] L.A. Woman $side[A5] $dur[7:49]
$index[6] L'America $side[B1] $dur[4:35]
$index[7] Hyacinth House $side[B2] $dur[3:10]
$index[8] Crawling King Snake $side[B3] $dur[4:57]
$index[9] The WASP (Texas Radio And The Big Beat) $side[B4] $dur[4:12]
$index[10] Riders On The Storm $side[B5] $dur[7:14]
"
Ghost In The Machine,The Police,Rock,"$index[1] Spirits In The Material World $side[A1] $dur[2:58]
$index[2] Every Little Thing She Does Is Magic $side[A2] $dur[4:20]
$index[3] Invisible Sun $side[A3] $dur[3:43]
$index[4] Hungry For You (J'Aurais Toujours Faim De Toi) $side[A4] $dur[2:52]
$index[5] Demolition Man $side[A5] $dur[5:54]
$index[6] Too Much Information $side[B1] $dur[3:10]
$index[7] Rehumanize Yourself $side[B2] $dur[3:42]
$index[8] One World (Not Three) $side[B3] $dur[4:45]
$index[9] Omegaman $side[B4] $dur[2:47]
$index[10] Secret Journey $side[B5] $dur[3:32]
$index[11] Darkness $side[B6] $dur[3:11]
"
Zenyatta Mondatta,The Police,Rock,"$index[1] Don't Stand So Close To Me $side[A1] $dur[4:03]
$index[2] Driven To Tears $side[A2] $dur[3:21]
$index[3] When The World Is Running Down, You Make The Best Of What's Still Around $side[A3] $dur[3:33]
$index[4] Canary In A Coalmine $side[A4] $dur[2:24]
$index[5] Voices Inside My Head $side[A5] $dur[3:51]
$index[6] Bombs Away $side[A6] $dur[3:07]
$index[7] De Do Do Do, De Da Da Da $side[B1] $dur[4:09]
$index[8] Behind My Camel $side[B2] $dur[2:53]
$index[9] Man In A Suitcase $side[B3] $dur[2:15]
$index[10] Shadows In The Rain $side[B4] $dur[5:09]
$index[11] The Other Way Of Stopping $side[B5] $dur[3:21]
"
Led Zeppelin,Led Zeppelin,Rock,"$index[1] Good Times Bad Times $side[A1] $dur[2:46]
$index[2] Babe I'm Gonna Leave You $side[A2] $dur[6:42]
$index[3] You Shook Me $side[A3] $dur[6:28]
$index[4] Dazed And Confused $side[A4] $dur[6:28]
$index[5] Your Time Is Gonna Come $side[B1] $dur[4:34]
$index[6] Black Mountain Side $side[B2] $dur[2:12]
$index[7] Communication Breakdown $side[B3] $dur[2:30]
$index[8] I Can't Quit You Baby $side[B4] $dur[4:42]
$index[9] How Many More Times $side[B5] $dur[8:27]
"
Led Zeppelin (Remastered),Led Zeppelin,Rock,"$index[1] Good Times Bad Times $side[1] $dur[2:46]
$index[2] Babe I'm Gonna Leave You $side[2] $dur[6:42]
$index[3] You Shook Me $side[3] $dur[6:28]
$index[4] Dazed And Confused $side[4] $dur[6:28]
$index[5] Your Time Is Gonna Come $side[5] $dur[4:34]
$index[6] Black Mountain Side $side[6] $dur[2:12]
$index[7] Communication Breakdown $side[7] $dur[2:30]
$index[8] I Can't Quit You Baby $side[8] $dur[4:42]
$index[9] How Many More Times $side[9] $dur[8:27]
"
Atom Heart Mother,Pink Floyd,Rock,"$index[1] Atom Heart Mother
$index[2] If $side[B1]
$index[3] Summer '68 $side[B2]
$index[4] Fat Old Sun $side[B3]
$index[5] Alan's Psychedelic Breakfast
"
The Division Bell,Pink Floyd,Rock,"$index[1] Cluster One $side[A1] $dur[5:58]
$index[2] What Do You Want From Me $side[A2] $dur[4:21]
$index[3] Poles Apart $side[A3] $dur[7:04]
$index[4] Marooned $side[B1] $dur[5:29]
$index[5] A Great Day For Freedom $side[B2] $dur[4:17]
$index[6] Wearing The Inside Out $side[B3] $dur[6:49]
$index[7] Take It Back $side[C1] $dur[6:12]
$index[8] Coming Back To Life $side[C2] $dur[6:19]
$index[9] Keep Talking $side[C3] $dur[6:11]
$index[10] Lost For Words $side[D1] $dur[5:14]
$index[11] High Hopes $side[D2] $dur[8:31]
"
The Dark Side Of The Moon,Pink Floyd,Rock,"$index[1] Speak To Me $side[A1]
$index[2] Breathe (In The Air) $side[A2]
$index[3] On The Run $side[A3]
$index[4] Time $side[A4]
$index[5] The Great Gig In The Sky $side[A5]
$index[6] Money $side[B1]
$index[7] Us And Them $side[B2]
$index[8] Any Colour You Like $side[B3]
$index[9] Brain Damage $side[B4]
$index[10] Eclipse $side[B5]
"
Pompeii,Pink Floyd,Rock,"$index[1] Pompeii (Main Title) $side[A1]
$index[2] Echos (Part 1) $side[A2]
$index[3] On The Run $side[A3]
$index[4] Careful With That Axe, Eugene $side[B1]
$index[5] A Saucerful Of Secrets $side[B2]
$index[6] One Of This Days I'm Going To Cut You Into Little Pieces $side[C1]
$index[7] Set The Control Of The Heart Of The Sun $side[C2]
$index[8] Brain Damage $side[C3]
$index[9] Us And Theme $side[D1]
$index[10] Mademoiselle Knobs $side[D2]
$index[11] Echos (Part 2) $side[D3]
"
On A Plain,Nirvana,Rock,"$index[1] On A Plain (LP Version) $side[1] $dur[3:12]
"
